id,Title,Desc,Type,BodyPart,Equipment,Level
1,Mountain Climber (Bodyweight),Mountain Climber exercise targeting strength and endurance,Power,Chest,Bodyweight,Advanced
2,Burpee (Cable),Burpee exercise targeting strength and endurance,Mobility,Quads,Cable,Beginner
3,Superman (Kettlebell),Superman exercise targeting strength and endurance,Endurance,Legs,Kettlebell,Intermediate
4,Lat Pulldown (TRX),Lat Pulldown exercise targeting strength and endurance,Power,Hamstrings,TRX,Intermediate
5,Step-Up (Bodyweight),Step-Up exercise targeting strength and endurance,Power,Arms,Bodyweight,Advanced
6,Box Jump (Band),Box Jump exercise targeting strength and endurance,Strength,Shoulders,Band,Intermediate
7,Plank (Dumbbell),Plank exercise targeting strength and endurance,Mobility,Glutes,Dumbbell,Advanced
8,Glute Bridge (Dumbbell),Glute Bridge exercise targeting strength and endurance,Balance,Arms,Dumbbell,Advanced
9,Pull-Up (Machine),Pull-Up exercise targeting strength and endurance,Power,Forearms,Machine,Intermediate
10,Incline Row (Band),Incline Row exercise targeting strength and endurance,Strength,Core,Band,Intermediate
11,Good Morning (Cable),Good Morning exercise targeting strength and endurance,Cardio,Hamstrings,Cable,Intermediate
12,Jump Rope (Band),Jump Rope exercise targeting strength and endurance,Mobility,Calves,Band,Advanced
13,Box Jump,Box Jump exercise targeting strength and endurance,Strength,Traps,Dumbbell,Advanced
14,Leg Curl,Leg Curl exercise targeting strength and endurance,Cardio,Forearms,None,Beginner
15,Side Plank,Side Plank exercise targeting strength and endurance,Cardio,Full Body,Resistance Band,Beginner
16,Hammer Curl (Bodyweight),Hammer Curl exercise targeting strength and endurance,Power,Chest,Bodyweight,Beginner
17,Sit-Up,Sit-Up exercise targeting strength and endurance,Cardio,Calves,Kettlebell,Beginner
18,Incline Row (TRX),Incline Row exercise targeting strength and endurance,Endurance,Hamstrings,TRX,Intermediate
19,Wall Ball (Bodyweight),Wall Ball exercise targeting strength and endurance,Power,Quads,Bodyweight,Intermediate
20,Leg Curl (TRX),Leg Curl exercise targeting strength and endurance,Strength,Core,TRX,Intermediate
21,Jump Squat (Dumbbell),Jump Squat exercise targeting strength and endurance,Mobility,Chest,Dumbbell,Beginner
22,Box Squat (Machine),Box Squat exercise targeting strength and endurance,Power,Shoulders,Machine,Advanced
23,Mountain Climber (Dumbbell),Mountain Climber exercise targeting strength and endurance,Strength,Core,Dumbbell,Intermediate
24,Calf Raise (Dumbbell),Calf Raise exercise targeting strength and endurance,Power,Chest,Dumbbell,Advanced
25,Wall Ball (Machine),Wall Ball exercise targeting strength and endurance,Strength,Shoulders,Machine,Intermediate
26,Jump Squat (Band),Jump Squat exercise targeting strength and endurance,Mobility,Calves,Band,Intermediate
27,Landmine Press (Bodyweight),Landmine Press exercise targeting strength and endurance,Flexibility,Full Body,Bodyweight,Advanced
28,Split Squat (Kettlebell),Split Squat exercise targeting strength and endurance,Flexibility,Forearms,Kettlebell,Beginner
29,Box Jump (TRX),Box Jump exercise targeting strength and endurance,Flexibility,Calves,TRX,Intermediate
30,Bird Dog (Bodyweight),Bird Dog exercise targeting strength and endurance,Strength,Shoulders,Bodyweight,Beginner
31,Hip Thrust (Bodyweight),Hip Thrust exercise targeting strength and endurance,Mobility,Legs,Bodyweight,Intermediate
32,Pull-Up (Bodyweight),Pull-Up exercise targeting strength and endurance,Balance,Shoulders,Bodyweight,Advanced
33,T-Bar Row (TRX),T-Bar Row exercise targeting strength and endurance,Power,Traps,TRX,Intermediate
34,High Knees (Bodyweight),High Knees exercise targeting strength and endurance,Power,Core,Bodyweight,Intermediate
35,Wall Ball,Wall Ball exercise targeting strength and endurance,Balance,Chest,Barbell,Advanced
36,Snatch (Cable),Snatch exercise targeting strength and endurance,Power,Back,Cable,Advanced
37,High Knees (Band),High Knees exercise targeting strength and endurance,Balance,Hamstrings,Band,Advanced
38,Russian Twist (Dumbbell),Russian Twist exercise targeting strength and endurance,Cardio,Core,Dumbbell,Intermediate
39,Wrist Curl (Cable),Wrist Curl exercise targeting strength and endurance,Power,Hamstrings,Cable,Advanced
40,Kettlebell Swing (Kettlebell),Kettlebell Swing exercise targeting strength and endurance,Balance,Calves,Kettlebell,Beginner
41,Snatch (Kettlebell),Snatch exercise targeting strength and endurance,Cardio,Core,Kettlebell,Beginner
42,Front Squat (Machine),Front Squat exercise targeting strength and endurance,Flexibility,Legs,Machine,Advanced
43,Cable Row (Dumbbell),Cable Row exercise targeting strength and endurance,Endurance,Core,Dumbbell,Intermediate
44,Bird Dog,Bird Dog exercise targeting strength and endurance,Cardio,Core,Barbell,Advanced
45,Shoulder Press,Shoulder Press exercise targeting strength and endurance,Cardio,Forearms,Barbell,Advanced
46,Shrugs (Band),Shrugs exercise targeting strength and endurance,Strength,Forearms,Band,Advanced
47,Clean and Jerk (Dumbbell),Clean and Jerk exercise targeting strength and endurance,Flexibility,Calves,Dumbbell,Beginner
48,Step-Up (Band),Step-Up exercise targeting strength and endurance,Cardio,Calves,Band,Beginner
49,Bench Press,Bench Press exercise targeting strength and endurance,Strength,Calves,Bodyweight,Advanced
50,Seated Row (Cable),Seated Row exercise targeting strength and endurance,Strength,Legs,Cable,Beginner
