id,Title,Desc,Type,BodyPart,Equipment,Level
1,Push-Up,A bodyweight exercise for upper body strength,Strength,Chest,Bodyweight,Advanced
2,Bench Press,Chest and upper body pressing movement,Strength,Chest,Cable,Beginner
3,Incline Bench Press,Targets upper chest muscles,Strength,Chest,Dumbbell,Advanced
4,Decline Bench Press,Targets lower chest muscles,Strength,Chest,Dumbbell,Intermediate
5,Chest Fly,Chest muscle isolator using cables or dumbbells,Strength,Chest,Machine,Beginner
6,Cable Crossover,Chest definition and isolation exercise,Strength,Chest,Bodyweight,Advanced
7,Shoulder Press,Overhead shoulder strength builder,Strength,Shoulders,Resistance Band,Beginner
8,Lateral Raise,Isolates and builds the lateral deltoids,Strength,Shoulders,Bodyweight,Beginner
9,Front Raise,Targets the front deltoids,Strength,Shoulders,Dumbbell,Beginner
10,Rear Delt Fly,Works rear deltoids and upper back,Strength,Shoulders,Barbell,Advanced
11,Arnold Press,Shoulder exercise with rotational movement,Strength,Shoulders,Machine,Advanced
12,Pull-Up,Back and biceps bodyweight exercise,Strength,Lats,Cable,Intermediate
13,Lat Pulldown,Upper body machine pull exercise,Strength,Lats,Bodyweight,Intermediate
14,Chin-Up,Targets the lats and biceps,Strength,Lats,Cable,Beginner
15,Straight Arm Pulldown,Isolates the lat muscles,Strength,Lats,Dumbbell,Beginner
16,Single Arm Dumbbell Row,Lats and upper back workout,Strength,Lats,Machine,Beginner
17,Tricep Dip,Bodyweight triceps builder,Strength,Triceps,Barbell,Intermediate
18,Skull Crusher,Lying triceps extension with barbell,Strength,Triceps,Cable,Intermediate
19,Overhead Tricep Extension,Stretches and works triceps,Strength,Triceps,Machine,Intermediate
20,Cable Tricep Pushdown,Isolated cable triceps workout,Strength,Triceps,Barbell,Beginner
21,Close-Grip Bench Press,Chest and triceps press variation,Strength,Triceps,Barbell,Beginner
22,Bicep Curl,Isolated arm movement for biceps,Strength,Biceps,Cable,Intermediate
23,Hammer Curl,Works biceps and forearms,Strength,Biceps,Bodyweight,Intermediate
24,Concentration Curl,Bicep isolator with strict form,Strength,Biceps,Cable,Advanced
25,Preacher Curl,Strict bicep movement with support,Strength,Biceps,Dumbbell,Beginner
26,Cable Curl,Continuous tension on biceps,Strength,Biceps,Resistance Band,Beginner
27,Squat,Lower body compound movement,Strength,Legs,Machine,Advanced
28,Leg Press,Leg strength on machine,Strength,Legs,Cable,Advanced
